LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.284, Time: 1.808470 s
         4125652 function calls (4056072 primitive calls) in 4.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      260    0.001    0.000    0.012    0.000 __init__.py:3195(split_sections)
        1    0.000    0.000    0.012    0.012 parfor.py:1(<module>)
      287    0.001    0.000    0.012    0.000 context.py:374(resolve_value_type)
    29149    0.009    0.000    0.012    0.000 inspect.py:2969(<genexpr>)
     2560    0.002    0.000    0.012    0.000 values.py:537(__init__)
        2    0.000    0.000    0.012    0.006 lowering.py:309(create_cfunc_wrapper)
        2    0.000    0.000    0.012    0.006 cpu.py:186(create_cfunc_wrapper)
        8    0.000    0.000    0.012    0.001 arrayobj.py:445(getitem_array_tuple)
     1474    0.007    0.000    0.012    0.000 functools.py:35(update_wrapper)
       28    0.000    0.000    0.012    0.000 ir.py:1473(infer_constant)
    41/28    0.000    0.000    0.012    0.000 consts.py:24(infer_constant)
        1    0.000    0.000    0.012    0.012 pathlib.py:1(<module>)
    36/28    0.000    0.000    0.012    0.000 consts.py:56(_do_infer)
2985/2968    0.003    0.000    0.012    0.000 {built-in method builtins.any}
      693    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      811    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:169(__enter__)
