LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.307, Time: 1.977700 s
         4097999 function calls (4037902 primitive calls) in 5.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 __init__.py:2275(class_factory)
        1    0.000    0.000    0.014    0.014 npydecl.py:1(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:132(_ensure_critical_deps)
1474/1350    0.001    0.000    0.014    0.000 contextlib.py:130(__enter__)
        3    0.000    0.000    0.014    0.005 common.py:1(<module>)
     1328    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.014    0.014 artist.py:1(<module>)
       43    0.000    0.000    0.013    0.000 passmanagers.py:232(run)
      100    0.010    0.000    0.013    0.000 {built-in method builtins.eval}
     2202    0.005    0.000    0.013    0.000 abstract.py:48(_intern)
        1    0.000    0.000    0.013    0.013 fromnumeric.py:1(<module>)
    29100    0.010    0.000    0.013    0.000 inspect.py:2969(<genexpr>)
      998    0.001    0.000    0.013    0.000 functools.py:884(wrapper)
      416    0.001    0.000    0.013    0.000 __init__.py:1317(safe_version)
        1    0.000    0.000    0.013    0.013 codegen.py:1174(_init)
       71    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.013    0.013 ticker.py:1(<module>)
       50    0.000    0.000    0.013    0.000 traceback.py:216(extract_stack)
     1473    0.007    0.000    0.013    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.013    0.013 callwrapper.py:102(build)
     1276    0.004    0.000    0.013    0.000 instructions.py:13(__init__)
        1    0.000    0.000    0.013    0.013 lowering.py:309(create_cfunc_wrapper)
        1    0.000    0.000    0.013    0.013 cpu.py:186(create_cfunc_wrapper)
       25    0.000    0.000    0.013    0.001 ir.py:1473(infer_constant)
       92    0.001    0.000    0.012    0.000 __init__.py:1342(_preprocess_data)
    38/25    0.000    0.000    0.012    0.000 consts.py:24(infer_constant)
        1    0.000    0.000    0.012    0.012 pathlib.py:1(<module>)
        1    0.000    0.000    0.012    0.012 callwrapper.py:127(build_wrapper)
      124    0.000    0.000    0.012    0.000 __init__.py:3292(<genexpr>)
