LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.290, Time: 0.822737 s
         7611040 function calls (7348788 primitive calls) in 6.810 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12774    0.031    0.000    0.031    0.000 {built-in method __new__ of type object at 0x5580b152f9a0}
        1    0.000    0.000    0.031    0.031 arraymath.py:1(<module>)
      594    0.002    0.000    0.031    0.000 analysis.py:71(fix_point)
       33    0.000    0.000    0.031    0.001 ssa.py:145(_find_defs_violators)
     1590    0.007    0.000    0.031    0.000 targetconfig.py:199(<dictcomp>)
       20    0.000    0.000    0.030    0.002 lowering.py:760(lower_getitem)
        1    0.000    0.000    0.030    0.030 _axes.py:46(Axes)
        1    0.000    0.000    0.030    0.030 loader.py:1(<module>)
       33    0.000    0.000    0.030    0.001 ir.py:1554(dump_to_string)
     1068    0.001    0.000    0.030    0.000 base.py:46(find)
       82    0.001    0.000    0.030    0.000 base.py:429(declare_function)
       33    0.000    0.000    0.030    0.001 typed_passes.py:787(run_pass)
   180482    0.030    0.000    0.030    0.000 {method 'startswith' of 'str' objects}
       33    0.000    0.000    0.030    0.001 ir.py:1528(dump)
     2432    0.006    0.000    0.029    0.000 base.py:360(install_registry)
      327    0.029    0.000    0.029    0.000 {built-in method posix.listdir}
      178    0.021    0.000    0.029    0.000 overload_glue.py:128(_build)
        1    0.000    0.000    0.029    0.029 pyplot.py:267(backend_mod)
      923    0.004    0.000    0.029    0.000 typeof.py:25(typeof)
       29    0.000    0.000    0.029    0.001 base.py:895(call_internal)
      129    0.000    0.000    0.029    0.000 module.py:160(link_in)
      159    0.004    0.000    0.029    0.000 ir.py:1254(dump)
     1631    0.002    0.000    0.029    0.000 functools.py:884(wrapper)
        1    0.000    0.000    0.029    0.029 axis3d.py:1(<module>)
        1    0.000    0.000    0.029    0.029 randomdecl.py:1(<module>)
        1    0.000    0.000    0.029    0.029 backend_tkagg.py:1(<module>)
      122    0.000    0.000    0.029    0.000 ir.py:90(get_lines)
       79    0.000    0.000    0.029    0.000 arrayobj.py:71(_make_refs)
      297    0.012    0.000    0.028    0.000 analysis.py:118(compute_dead_maps)
       33    0.000    0.000    0.028    0.001 interpreter.py:391(post_process)
       80    0.000    0.000    0.028    0.000 pprint.py:57(pformat)
9952/8853    0.008    0.000    0.028    0.000 contextlib.py:139(__exit__)
       93    0.000    0.000    0.028    0.000 base.py:1111(get_abi_sizeof)
       33    0.000    0.000    0.028    0.001 lowering.py:336(init)
       80    0.000    0.000    0.028    0.000 pprint.py:155(pformat)
       18    0.000    0.000    0.027    0.002 functions.py:389(get_call_type)
       33    0.002    0.000    0.027    0.001 lowering.py:349(_find_singly_assigned_variable)
     2204    0.012    0.000    0.027    0.000 version.py:261(__init__)
  1286/80    0.003    0.000    0.027    0.000 pprint.py:167(_format)
       73    0.001    0.000    0.027    0.000 codegen.py:685(_get_module_for_linking)
       93    0.000    0.000    0.027    0.000 types.py:48(get_abi_size)
        1    0.000    0.000    0.027    0.027 quiver.py:1(<module>)
       33    0.004    0.000    0.027    0.001 interpreter.py:285(peep_hole_delete_with_exit)
        2    0.000    0.000    0.027    0.013 templates.py:1138(generic)
       73    0.000    0.000    0.027    0.000 callconv.py:385(return_user_exc)
        3    0.000    0.000    0.027    0.009 templates.py:1080(_get_signature)
